school name,location,state,rating,state test proficiency,population,graduation rate,standardized test performance,upperclassmen taking ACT or SAT,AP class enrollment rate,AP test pass rate,white student percentage,black student percentage,hispanic student percentage,asian pacific student percentage,native american indian student percentage,hawaiian pacific islander student percentage,two or more races student percentage
"
Red Lodge High School
",Red Lodge,MT,#1,60%,"
165
",90% or more*,60%,57%,19%,68%,93.3%,0%,1.8%,0.6%,1.8%,0%,2.4%
"
Three Forks High School
",Three Forks,MT,#2,60%,"
168
",90% or more*,60%,54%,18%,74%,95.2%,0.6%,2.4%,1.2%,0.6%,0%,0%
"
Whitefish High School
",Whitefish,MT,#3,64%,"
497
",85% to 89%*,64%,67%,20%,83%,94.4%,0.6%,2.8%,0.6%,1.6%,0%,0%
"
Elkhorn South High School
",OMAHA,NE,#1,95%,"
1,077
",99% or more*,95%,75%,37%,85%,91.7%,0.8%,2.8%,2.5%,0.5%,0%,1.7%
"
Millard North High School
",OMAHA,NE,#2,86%,"
2,521
",95%,86%,79%,23%,73%,79.9%,4.5%,5%,7.3%,0.6%,0.2%,2.5%
"
Millard West High School
",OMAHA,NE,#3,85%,"
2,448
",96%,85%,86%,26%,60%,88.2%,1.6%,5.4%,2.7%,0.1%,0.1%,2.1%
"
Nevada State High School
",Henderson,NV,Upper 11.5%,3rd,"
312
",9th,3rd,N/A,N/A,0%,57.4%,4.8%,23.4%,9.6%,0%,0.6%,4.2%
"
Silver State High School
",Carson City,NV,Upper 30.2%,N/A,"
412
",89th,N/A,N/A,N/A,0,77.4%,0.7%,14.3%,0.7%,2.7%,0.5%,3.6%
"
Beacon Academy of Nevada
",Las Vegas,NV,Upper 21.9%,59th,"
524
",84th,59th,N/A,N/A,0%,49.4%,8.8%,28.1%,2.5%,1%,0.6%,9.7%
"
Windham High School
",Windham,NH,#1,64%,"
813
",95% or more*,64%,78%,16%,87%,89.5%,0.2%,3.6%,3.2%,0%,0%,3.4%
"
Hollis-Brookline High School
",Hollis,NH,#2,67%,"
830
",96%,67%,54%,27%,82%,94.5%,0.7%,1.6%,2.9%,0.1%,0.2%,0%
"
Oyster River High School
",Durham,NH,#3,64%,"
719
",95% or more*,64%,72%,11%,89%,92.2%,0.8%,1.3%,4.2%,0.1%,0.1%,1.3%
